victim,sample_index,raw_success,natural,effective_success,raw_query,effective_query
SigLIP2,0,False,False,False,100,100
SigLIP2,1,False,False,False,100,100
SigLIP2,2,False,False,False,100,100
SigLIP2,3,True,True,True,3,3
SigLIP2,4,True,True,True,30,30
SigLIP2,6,True,True,True,5,5
SigLIP2,7,True,True,True,3,3
SigLIP2,8,True,False,False,23,100
SigLIP2,9,True,True,True,10,10
SigLIP2,10,False,False,False,100,100
SigLIP2,11,False,False,False,100,100
SigLIP2,12,True,True,True,18,18
SigLIP2,13,False,False,False,100,100
SigLIP2,14,True,True,True,45,45
SigLIP2,15,False,False,False,100,100
SigLIP2,16,True,True,True,3,3
SigLIP2,17,False,False,False,100,100
SigLIP2,19,True,True,True,8,8
SigLIP2,20,True,True,True,3,3
SigLIP2,21,False,False,False,100,100
SigLIP2,22,True,True,True,25,25
SigLIP2,23,False,False,False,100,100
SigLIP2,24,True,True,True,3,3
SigLIP2,25,False,False,False,100,100
SigLIP2,28,True,True,True,10,10
SigLIP2,30,False,False,False,100,100
SigLIP2,31,True,True,True,3,3
SigLIP2,32,False,False,False,100,100
SigLIP2,33,False,False,False,100,100
SigLIP2,34,False,False,False,100,100
SigLIP2,35,True,True,True,3,3
SigLIP2,36,False,False,False,100,100
SigLIP2,37,True,True,True,3,3
SigLIP2,39,False,False,False,100,100
SigLIP2,40,False,False,False,100,100
SigLIP2,41,True,True,True,3,3
SigLIP2,42,True,True,True,15,15
SigLIP2,44,False,False,False,100,100
SigLIP2,45,True,True,True,3,3
SigLIP2,46,True,True,True,8,8
SigLIP2,47,True,True,True,3,3
SigLIP2,50,True,True,True,30,30
SigLIP2,51,False,False,False,100,100
SigLIP2,52,True,True,True,3,3
SigLIP2,53,True,True,True,3,3
SigLIP2,54,True,True,True,3,3
SigLIP2,55,True,True,True,5,5
SigLIP2,56,True,True,True,10,10
SigLIP2,57,True,True,True,3,3
SigLIP2,59,True,True,True,55,55
SigLIP2,60,False,False,False,100,100
SigLIP2,61,True,True,True,3,3
SigLIP2,62,True,True,True,15,15
SigLIP2,64,True,True,True,25,25
SigLIP2,65,False,False,False,100,100
SigLIP2,66,True,True,True,3,3
SigLIP2,67,True,True,True,8,8
SigLIP2,68,True,True,True,5,5
SigLIP2,69,True,True,True,10,10
SigLIP2,70,False,False,False,100,100
SigLIP2,71,False,False,False,100,100
SigLIP2,72,True,True,True,3,3
SigLIP2,73,True,True,True,50,50
SigLIP2,74,True,True,True,8,8
SigLIP2,75,True,True,True,5,5
SigLIP2,76,False,False,False,100,100
SigLIP2,77,True,True,True,85,85
SigLIP2,78,False,False,False,100,100
SigLIP2,79,True,True,True,13,13
SigLIP2,80,True,True,True,5,5
SigLIP2,81,False,False,False,100,100
SigLIP2,82,True,True,True,3,3
SigLIP2,83,True,True,True,3,3
SigLIP2,84,False,False,False,100,100
SigLIP2,85,False,False,False,100,100
SigLIP2,87,False,False,False,100,100
SigLIP2,88,True,True,True,18,18
SigLIP2,89,True,True,True,10,10
SigLIP2,90,True,True,True,100,100
SigLIP2,91,False,False,False,100,100
SigLIP2,92,False,False,False,100,100
SigLIP2,93,False,False,False,100,100
SigLIP2,94,False,False,False,100,100
SigLIP2,95,True,True,True,3,3
SigLIP2,96,True,True,True,5,5
SigLIP2,98,True,True,True,3,3
SigLIP2,99,True,True,True,3,3
SigLIP2,101,True,True,True,5,5
SigLIP2,102,True,True,True,3,3
SigLIP2,103,False,False,False,100,100
SigLIP2,104,True,True,True,3,3
SigLIP2,105,True,True,True,8,8
SigLIP2,106,False,False,False,100,100
SigLIP2,107,True,True,True,8,8
SigLIP2,111,True,True,True,18,18
SigLIP2,112,False,False,False,100,100
SigLIP2,113,True,True,True,18,18
SigLIP2,114,True,True,True,18,18
SigLIP2,115,False,False,False,100,100
SigLIP2,116,False,False,False,100,100
SigLIP2,117,True,True,True,10,10
SigLIP2,118,False,False,False,100,100
SigLIP2,119,False,False,False,100,100
SigLIP2,120,False,False,False,100,100
SigLIP2,121,True,True,True,8,8
SigLIP2,122,True,True,True,3,3
SigLIP2,123,True,True,True,8,8
SigLIP2,124,True,True,True,31,31
SigLIP2,125,True,True,True,3,3
SigLIP2,126,False,False,False,100,100
SigLIP2,128,False,False,False,100,100
SigLIP2,129,True,False,False,10,100
SigLIP2,130,True,True,True,3,3
SigLIP2,131,True,True,True,3,3
SigLIP2,132,True,True,True,3,3
SigLIP2,133,True,True,True,3,3
SigLIP2,134,False,False,False,100,100
SigLIP2,135,True,True,True,23,23
SigLIP2,136,True,True,True,3,3
SigLIP2,138,True,True,True,53,53
SigLIP2,139,True,True,True,20,20
SigLIP2,140,False,False,False,100,100
SigLIP2,141,True,True,True,8,8
SigLIP2,143,True,True,True,45,45
SigLIP2,144,True,True,True,13,13
SigLIP2,145,True,True,True,30,30
SigLIP2,146,False,False,False,100,100
SigLIP2,148,True,True,True,10,10
SigLIP2,149,False,False,False,100,100
SigLIP2,150,True,True,True,24,24
SigLIP2,151,True,True,True,8,8
SigLIP2,152,True,True,True,20,20
SigLIP2,153,False,False,False,100,100
SigLIP2,154,True,True,True,3,3
SigLIP2,155,True,True,True,18,18
SigLIP2,156,False,False,False,100,100
SigLIP2,157,True,True,True,28,28
SigLIP2,158,True,True,True,45,45
SigLIP2,159,False,False,False,100,100
SigLIP2,160,False,False,False,100,100
SigLIP2,161,True,True,True,3,3
SigLIP2,162,True,True,True,30,30
SigLIP2,163,True,True,True,8,8
